,country,Region,Surface area (km2),Population in thousands (2017),GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Individuals using the Internet (per 100 inhabitants),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Population, female","Population, male"
0,Argentina,SouthAmerica,2780400,44271,632343,2.4,14564.5,2,24.8,73.1,6.5,57733,55610,2124,-15944,1,4.8,3.8,5.3,256,3167,85,73.3,52.57,12.07,37.95,53.33,90.67,3.77,3.9,26.53,25.64,333.23,0.3,52.57,13.92,34.05,44.06,50.37,58.4,100,9094.367252,56.04635544,305.102,16749271,15274156208,24982416353,112.8871083,-4.848849811,9.124314785,11.24272132,,79.726,72.924,76.372,22572521,21472290
1,Australia,Oceania,7692060,24451,1230859,2.4,51352.2,2.7,21.2,76.1,5.5,189630,189406,224,-57746,1.5,9.4,3.4,5.2,948,15282,222,74.25,80.66,9.24,34.73,24.58,72.79,4.9,5.05,20.41,19.82,70.87,1.41,80.66,42.54,62.39,76.87,77.12,101.94,100,43073.96717,52.5996706,1982.586171,74257326,64296388330,67392204901,115.6867846,-2.689996524,9.205947816,21.19320015,1.948647409,84.6,80.5,82.5,12349632,12252228
2,Austria,WesternEurope,83871,8736,376967,1,44117.7,4.7,25.6,69.7,6.2,145503,149299,-3795,7020,0.6,11.2,5.2,5.5,118,505,158,80.91,71.52,9.66,26.27,21.9,62.13,3.63,3.78,27.55,26.46,59.08,1.69,71.52,25.86,49.64,65.86,66.94,95.66,100,39557.66799,49.6725857,391.268,16171640,66403956922,55455087774,113.9997367,1.534514068,10.39661691,54.03767102,2.081268583,84,79.4,81.64390244,4478340,4319226
3,Belarus,EasternEurope,207600,9468,54609,-3.9,5750.8,9.6,32,58.4,0.5,23414,27464,-4050,-2037,~0.0,5.7,4.1,4.9,25,155,122,53.76,33.84,18.73,27.66,39.64,20.07,5.31,4.82,18.85,20.75,587.51,0.17,33.84,12.21,23.47,27.19,37.6,36.43,100,5923.223118,45.52442109,1.9151,2493100,7883700000,4820200000,,-1.740287324,5.92578575,66.7896002,6.031837252,79.2,69.3,74.12926829,5077542,4420722
4,Belgium,WesternEurope,30528,11429,455107,1.5,40277.8,1.2,21.2,77.6,8.3,398033,372713,25321,1936,0.6,10.6,3,6.6,37,520,196,78.92,75.36,6.96,36.26,48.92,75.16,5.82,5.92,17.18,16.88,44.69,2.24,75.36,29.64,53.44,65.77,82.34,91.02,100,38493.27244,55.3290794,1574.378609,13676844,1.15167E+11,1.14004E+11,113.1289026,1.226775036,10.33866927,82.38680625,2.12597086,83.9,79.2,81.49268293,5766141,5609017
5,Bosnia and Herzegovina,SouthernEurope,51209,3507,16251,3.1,4265,18,30.4,51.7,25.4,5327,9130,-3803,-923,-1,9.6,1.9,-99,91,252,85,61.49,35.05,11.35,26.63,60.69,73.29,3.41,3.31,29.36,30.18,104.89,0.95,35.05,6.22,21.23,29.76,24.22,51.29,100,5061.666904,43.97906681,,,2006406621,657386055.1,102.8515861,-4.339925051,8.931667358,40.83058781,0.810133322,79.581,74.622,77.128,1709258,1642269
6,Brazil,SouthAmerica,8515767,209288,1772591,-3.8,8528.3,15.2,21.5,63.2,12.4,185235,137552,47683,-58882,0.9,8.3,1.9,6,990,10948,61,51.7,53.07,16.96,46.39,61.17,70.76,4.01,4.02,24.92,24.85,224.6,0.45,53.07,15.52,35.07,41.65,42.33,42.38,100,9359.891696,43.45006075,1736.549227,96395709,33676596773,70369731834,155.6687862,-0.727859993,9.467476606,12.52307537,3.44637335,79.156,71.804,75.456,105601740,102232091
7,Bulgaria,EasternEurope,111002,7085,48953,3,6846.8,6.5,29.4,64.1,8.1,26088,28875,-2787,196,-0.6,8.4,4,4.1,104,474,103,54.03,36.49,9.07,27.92,63.12,77.05,5.36,5.68,18.65,17.59,77.24,1.29,36.49,8.91,23.27,30.49,29.56,51.4,100,7224.353985,54.32655136,1.71896,1133069,9383450000,5879280000,107.9389572,3.599568277,8.095603436,67.30355987,2.064355063,78.4,71.4,74.81463415,3636886,3439061
8,Canada,NorthernAmerica,9984670,36624,1552808,0.9,43205.6,2.1,19.5,78.4,7.1,388911,402954,-14043,-53083,1,10.4,2.5,5.3,122,19276,324,69.23,70.16,6.4,36.24,26.54,44.31,5.47,6.16,18.29,16.23,42.14,2.37,70.16,29.84,50.83,69.26,65.65,108.01,100,41350.06993,48.61607453,2840.985135,91404001,93063926790,1.11157E+11,111.9848311,-2.814046464,10.57276949,31.41052736,1.596884129,84.1,79.9,81.94878049,18418770,18124551
9,Chile,SouthAmerica,756102,18055,240796,2.3,13416.2,9.6,22.9,67.5,6.8,59884,58804,1080,-4761,0.9,7.8,...,4.9,197,540,85,60.97,50.09,10.67,35.7,67.67,89.39,4.42,5.06,22.64,19.77,83.59,1.2,50.09,15.43,33.48,43.19,44.38,61.28,100,10980.763,45.38283894,1237.960141,17664974,9763417564,13194488377,125.5665448,-2.15290831,8.983509988,28.43950047,2.182718469,82.333,77.333,79.909,9373185,9097254
